imbgeco,imueclt,imwbcnt,imsmetn,imdfetn,impcntr,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun,lrscale,stflife,rlgdgr,gndr,mean_MigEnrich,mean_MigAllow,mean_Trust,lrscale_dummy
8,6,4,3,3,3,5,4,5,5,3,5,NA,5,8,4,Female,6,3,4.5,middle
8,5,3,3,3,2,3,8,5,4,4,3,5,6,8,5,Male,5.333333333333333,2.6666666666666665,4.571428571428571,middle
7,6,6,4,3,3,4,8,8,5,3,3,3,5,8,5,Female,6.333333333333333,3.3333333333333335,4.857142857142857,middle
NA,0,0,3,2,3,0,3,4,0,0,0,NA,9,5,5,Female,0,2.6666666666666665,1.1666666666666667,right
7,7,7,3,3,3,4,5,7,6,6,5,5,5,10,9,Male,7,3,5.428571428571429,middle
4,3,5,4,3,2,4,6,8,5,5,6,6,5,8,5,Female,4,3,5.714285714285714,middle
5,7,5,3,3,2,7,8,8,4,4,6,7,4,9,6,Female,5.666666666666667,2.6666666666666665,6.285714285714286,middle
6,6,5,3,3,2,4,5,7,4,3,3,3,3,8,6,Female,5.666666666666667,2.6666666666666665,4.142857142857143,middle
10,8,5,4,4,4,0,2,3,0,0,0,NA,4,7,10,Female,7.666666666666667,4,0.8333333333333334,middle
8,5,3,3,3,2,4,5,5,2,3,0,2,4,5,6,Male,5.333333333333333,2.6666666666666665,3,middle
4,5,5,3,3,2,7,7,7,6,6,8,7,3,9,5,Female,4.666666666666667,2.6666666666666665,6.857142857142857,middle
9,9,8,4,3,3,7,9,8,7,5,7,7,3,8,6,Male,8.666666666666666,3.3333333333333335,7.142857142857143,middle
5,0,0,3,1,1,0,0,10,0,0,0,0,10,4,0,Male,1.6666666666666667,1.6666666666666667,1.4285714285714286,right
7,6,5,3,3,2,2,7,8,3,3,5,6,5,10,3,Male,6,2.6666666666666665,4.857142857142857,middle
8,9,5,4,4,4,7,7,8,6,5,8,7,3,7,2,Female,7.333333333333333,4,6.857142857142857,middle
4,6,4,3,3,2,3,6,6,2,3,3,3,4,7,1,Female,4.666666666666667,2.6666666666666665,3.7142857142857144,middle
7,7,7,3,3,2,3,NA,5,0,0,2,5,5,8,0,Male,7,2.6666666666666665,2.5,middle
6,9,7,4,3,3,8,8,7,4,4,6,6,2,8,0,Female,7.333333333333333,3.3333333333333335,6.142857142857143,middle
8,9,8,4,4,4,5,7,9,4,4,6,6,5,9,4,Female,8.333333333333334,4,5.857142857142857,middle
NA,10,5,NA,NA,NA,7,7,9,5,5,5,5,NA,10,8,Female,7.5,NA,6.142857142857143,NA
7,5,5,3,3,3,10,10,10,5,5,4,5,0,6,2,Male,5.666666666666667,3,7,left
7,3,5,4,3,2,5,5,4,4,5,5,5,3,7,0,Male,5,3,4.714285714285714,middle
3,2,3,3,2,2,3,9,9,2,4,5,4,5,9,8,Male,2.6666666666666665,2.3333333333333335,5.142857142857143,middle
5,6,5,3,2,2,0,0,0,0,0,0,0,5,5,0,Male,5.333333333333333,2.3333333333333335,0,middle
7,9,5,3,2,2,5,8,8,1,0,4,4,5,10,8,Female,7,2.3333333333333335,4.285714285714286,middle
7,7,7,4,3,3,2,2,4,2,2,3,4,4,7,5,Female,7,3.3333333333333335,2.7142857142857144,middle
4,6,NA,3,2,3,5,6,8,4,5,5,5,NA,8,1,Female,5,2.6666666666666665,5.428571428571429,NA
5,4,4,3,3,2,5,6,7,4,4,5,5,5,8,3,Female,4.333333333333333,2.6666666666666665,5.142857142857143,middle
7,7,5,4,4,4,6,8,7,6,6,7,7,3,8,0,Male,6.333333333333333,4,6.714285714285714,middle
